Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
18192,Neema Medical Clinic Kitengela,Neema Medical Clinic Kitengela,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Kajiado,Kajiado East,Kajiado East,Kaputiei North,Operational,No,No,Yes,No,,Yes,Yes,No
18191,Gertrudes Children Clinic (Kitengela),Gertrudes Children Clinic (Kitengela),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Kajiado,Kajiado East,Kajiado East,Kitengela,Operational,Yes,No,Yes,No,,Yes,Yes,No
18190,St Paul's Hospital,St Paul's Hospital,None,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,5,0,Kajiado,Kajiado East,Kajiado East,Kitengela,Operational,Yes,No,Yes,No,,Yes,Yes,No
18189,Topcare Nursing Home,Topcare Nursing Home,None,Level 3,Comprehensive health Centre,HEALTH CENTRE,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,10,10,Kajiado,Kajiado East,Kajiado East,Oloosirkon/Sholinke,Operational,Yes,No,Yes,No,,Yes,Yes,No
18188,Chepkoiyo,Chepkoiyo Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kericho,Ainamoi,Ainamoi,Ainamoi,Operational,No,No,No,No,,Yes,Yes,No
18187,Mahandakini Dispensary,Mahandakini Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Taita Taveta,Taveta,Taveta,Chala,Operational,No,No,No,No,,Yes,Yes,No
18186,Kipkundul Dispensary,Kipkundul Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Elgeyo Marakwet,Marakwet West,Marakwet West,Sengwer,Operational,No,No,No,No,,Yes,Yes,No
18185,Kapterit Dispensary,Kapterit Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Elgeyo Marakwet,Marakwet West,Marakwet West,Sengwer,Operational,No,No,No,No,,Yes,Yes,No
18184,Ruiru Health Clinic,Ruiru Health Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Kiambu,Ruiru,Ruiru,Biashara,Operational,No,No,No,No,,Yes,Yes,No
18183,Dr Sharma Medical Clinic,Dr Sharma Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Kiambu,Ruiru,Ruiru,Biashara,Operational,No,No,No,No,,Yes,Yes,No
18182,Dr Ogaro Medical Clinic,Dr Ogaro Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Uasin Gishu,Ainabkoi,Ainabkoi,Kapsoya,Operational,No,No,Yes,No,,Yes,Yes,No
18180,Blue Haven Medical Clinic,Blue Haven Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Kiambu,Ruiru,Ruiru,Kahawa Wendani,Operational,No,No,Yes,No,,Yes,Yes,No
18178,AAR Eldoret,AAR Eldoret,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Uasin Gishu,Soy,Soy,Kuinet/Kapsuswa,Operational,Yes,No,Yes,No,,Yes,Yes,No
18177,Cedar Hospital,Cedar Hospital -Eldoret,None,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,33,3,Uasin Gishu,Turbo,Turbo,Huruma,Operational,Yes,No,Yes,No,,Yes,Yes,No
18176,Sex Workers Outreach Program (Kibra),Sex Workers Outreach Program (Kibra),None,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Kibra,Kibra,Sarang'ombe,Operational,No,No,No,No,,Yes,Yes,No
18174,Mbiri (ACK) Dispensary,Mbiri (ACK) Dispensary,None,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,Kirinyaga,Gichugu,Kirinyaga East,Njukiine,Operational,No,No,No,No,,Yes,Yes,No
18172,Life Water Ndege Mobile Clinic,Life Water Ndege Mobile Clinic,None,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,Nakuru,Nakuru Town East,Nakuru East,Nakuru East,Operational,No,No,No,No,,Yes,Yes,No
18171,Administration Police Senior Staff College Dispens,Administration Police Senior Staff College Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kajiado,Kajiado East,Kajiado East,Kenyawa-poka,Operational,Yes,No,Yes,No,,Yes,Yes,No
18170,El Kambere Nomadic Clinic,El Kambere Nomadic Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Garissa,Ijara,Hulugho,Hulugho,Operational,No,No,Yes,No,,Yes,Yes,No
18169,Athi Complex Community Centre,Athi Complex Community Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,10,0,Machakos,Mavoko,Athi River,Athi River,Operational,No,No,No,No,,Yes,Yes,No
18168,Kyazabe Medical Clinic,Kyazabe Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Machakos,Yatta,Yatta,Kithimani,Operational,No,No,No,No,,Yes,Yes,No
18167,Mmak,Movement Of Men Against AIDS Of Kenya,None,Level 2,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Makadara,Makadara,Harambee,Operational,No,No,No,No,,Yes,Yes,No
18166,Wajir North Nomadic Clinic,Wajir North Nomadic Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Wajir,Wajir North,Wajir North,Gurar,Operational,Yes,No,Yes,No,,Yes,Yes,No
18165,Emahene Medical Clinic,Emahene Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),5,0,Kakamega,Khwisero,Khwisero,Kisa Central,Operational,No,No,Yes,No,,Yes,Yes,No
18164,Walmer Eye Clinic,Walmer Eye Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Kakamega,Khwisero,Khwisero,Kisa Central,Operational,No,No,No,No,,Yes,Yes,No
18162,Parayon Dispensary,Parayon Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,West Pokot,Pokot South,Pokot South,Tapach,Operational,No,No,No,No,,Yes,Yes,No
18159,Nunguni Medical Clinic,Nunguni Medical Clinic,002379,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),3,2,Makueni,Kaiti,Kaiti,Kilungu,Operational,Yes,No,Yes,No,,Yes,Yes,No
18155,Fanaka Medical Centre,Fanaka Medical Centre,None,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Machakos,Mavoko,Athi River,Athi River,Operational,No,No,No,No,,Yes,Yes,No
18152,East Africa Portland Cement Company Clinic,East Africa Portland Cement Company Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Machakos,Mavoko,Athi River,Athi River,Operational,No,No,No,No,,Yes,Yes,No
18148,Kapsang'ar Dispensary,Kapsang'ar Dispensary,None,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,West Pokot,Pokot South,Pokot South,Lelan,Operational,No,No,No,No,,Yes,Yes,No
18147,Gitombani Dispensary,Gitombani Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Tharaka Nithi,Maara,Mwimbi,Chogoria,Operational,No,No,No,No,,Yes,Yes,No
18146,Elis Medicare,Elis Medicare,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Tharaka Nithi,Maara,Muthambi,Muthambi,Operational,No,No,Yes,No,,Yes,Yes,No
18145,Sikusi Dispensary,Sikusi Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Bungoma,Kabuchai,Kabuchai,Kabuchai/Chwele,Operational,No,No,No,No,,Yes,Yes,No
18144,Wote Medical Clinic,Wote Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Makueni,Makueni,Makueni,Wote,Operational,No,No,No,No,,Yes,Yes,No
18143,Ponya Medical Clinic,Ponya Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Makueni,Mbooni,Mbooni,Waia-kako,Operational,No,No,No,No,,Yes,Yes,No
18142,Urafiki Medical Clinic,Urafiki Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Kajiado,Kajiado East,Kajiado East,Kaputiei North,Operational,No,No,Yes,No,,Yes,Yes,No
18141,Vicodec Medical Clinic,Vicodec Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Kajiado,Kajiado North,Kajiado North,Ongata Rongai,Operational,No,No,No,No,,Yes,Yes,No
18140,Ponya Surgicals Nursing Home,Ponya Surgicals Nursing Home,None,Level 3,Comprehensive health Centre,HEALTH CENTRE,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,17,3,Makueni,Makueni,Makueni,Wote,Operational,Yes,No,Yes,No,,Yes,Yes,No
18139,Makueni Medical Centre,Makueni Medical Centre,None,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Makueni,Makueni,Makueni,Wote,Operational,No,No,No,No,,Yes,Yes,No
18138,sunshine family health Medicare centre,sunshine family health Medicare centre,None,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Makueni,Makueni,Makueni,Wote,Operational,No,No,No,No,,Yes,Yes,No
18137,A To Z Quality Health Family Health Services,A to Z Quality Health Family Health Services,None,Level 2,Medical Clinic,MEDICAL CLINIC,Ministry of Health,Ministry of Health,Nursing Council of Kenya (Private Practice),0,0,Nakuru,Njoro,Njoro,Njoro,Operational,No,Yes,Yes,No,,Yes,Yes,No
18136,Victoria Medical Centre,Victoria Medical Centre,None,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Makueni,Makueni,Makueni,Wote,Operational,No,No,No,No,,Yes,Yes,No
18135,The Mercy Medical and Paediatric Health Care Clinic- Wote.,Mercy Medical and Paediatric Health Care Clinic (Wote),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Makueni,Makueni,Makueni,Wote,Operational,No,No,No,No,,Yes,Yes,No
18134,Eunik Highway Medical Clinic,Eunik Highway Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Makueni,Makueni,Makueni,Wote,Operational,No,No,No,No,,Yes,Yes,No
18133,Wote Health Clinic,Wote Health Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Makueni,Makueni,Makueni,Wote,Operational,No,No,No,No,,Yes,Yes,No
18132,Mutini Dispensary,Mutini Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Makueni,Makueni,Makueni,Kathonzweni,Operational,No,No,No,No,,Yes,Yes,No
18131,Ngondu Medical Clinic,Ngondu Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Nakuru,Njoro,Njoro,Kihingo,Operational,No,No,Yes,No,,Yes,Yes,No
18129,Kimugu Dispensary,Kimugu Dispensary,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,4,0,Kericho,Belgut,Belgut,Chaik,Operational,No,No,Yes,No,,Yes,Yes,No
18128,Rural Education and Enhancement Programme,Rural Education and Enhancement Programme,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Busia,Butula,Butula,Marachi North,Operational,No,No,No,No,,Yes,Yes,No
18127,Mubwekas Medical Clinic,Mubwekas Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Busia,Matayos,Matayos,Bukhayo West,Operational,No,No,No,No,,Yes,Yes,No
18126,Busia Trailer Park Clinic,Busia Trailer Park Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Busia,Matayos,Matayos,Burumba,Operational,No,No,No,No,,Yes,Yes,No
18121,Mombasa Roadside Wellness Centre,Mombasa Roadside Wellness Centre,003844,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Other,0,0,Mombasa,Changamwe,Changamwe,Kipevu,Operational,No,No,No,No,,Yes,Yes,No
18120,Buburi Community Health Clinic,Buburi Community Health Clinic,None,Level 3,Nursing Homes,NURSING HOME,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Busia,Funyula,Samia,Ageng'a Nanguba,Operational,No,No,No,No,,Yes,Yes,No
18119,Cornestone Baptist Clinic,Cornerstone Baptist Clinic,None,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,Busia,Funyula,Samia,Namboboto-nambuku,Operational,No,No,No,No,,Yes,Yes,No
18118,Malkich Dispensary,Malkich Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Elgeyo Marakwet,Marakwet East,Marakwet East,Endo,Operational,No,No,No,No,,Yes,Yes,No
18116,PCEA Smyrna Medical Clinic,PCEA Smyrna Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,4,4,Kajiado,Kajiado North,Kajiado North,Ongata Rongai,Operational,Yes,No,Yes,No,,Yes,Yes,No
18115,St Basil's Catholic Dispensary,St Basil's (Catholic) Dispensary,None,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Embu,Manyatta,Manyatta,Nginda,Operational,No,No,No,No,,Yes,Yes,No
18114,St Nicholas Medical Clinic,St Nicholas Medical Clinic,001983,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Embu,Manyatta,Manyatta,Nginda,Operational,No,No,No,No,,Yes,Yes,No
18113,St Antony Medical Clinic,St Antony Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Embu,Manyatta,Manyatta,Nginda,Operational,No,No,No,No,,Yes,Yes,No
18111,Nzoia Medical Centre,Nzoia Medical Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),16,0,Bungoma,Kanduyi,Kanduyi,Bukembe East,Operational,Yes,No,Yes,No,,Yes,Yes,No
18110,Primarosa Flower Ltd,Primarosa Flower Limited,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Nyandarua,Oljorook,Oljoroorok,Weru,Operational,No,No,Yes,No,,Yes,Yes,No
18106,Mathigu Road Medical Clinic,Mathigu Road Medical clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Kiambu,Ruiru,Ruiru,Biashara,Operational,No,No,No,No,,Yes,Yes,No
18105,Transcon Wendo Medical Services,Transcon Wendo Medical Services,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Kiambu,Ruiru,Ruiru,Biashara,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
18104,Mwisho Wa Lami Medical Clinic,Mwisho Wa lami Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Nakuru,Njoro,Njoro,Mau Narok,Operational,No,No,Yes,No,,Yes,Yes,No
18103,AIC Turi Health Centre,Turi AIC Health Centre,None,Level 3,Basic Health Centre,HEALTH CENTRE,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,Nakuru,Molo,Molo,Turi,Operational,No,No,Yes,No,,Yes,Yes,No
18102,Mutukanio ACK Dispensary,Mutukanio ACK Dispensary,None,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,Nakuru,Njoro,Njoro,Kihingo,Operational,No,No,No,No,,Yes,Yes,No
18101,Kakamega Police Line VCT,Kakamega Police Line VCT,None,Level 2,VCT,STAND ALONE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kakamega,Lurambi,Lurambi,Shirere,Operational,No,No,No,No,,Yes,Yes,No
18099,Nadunga Dispensary,Nadunga Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Turkana,Turkana North,Turkana North,Kaeris,Operational,No,No,No,No,,Yes,Yes,No
18098,Port Health Dispensary (Lokichoggio),Port Health Dispensary (Lokichoggio),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Turkana,Turkana West,Turkana West,Lokichoggio,Operational,No,No,No,No,,Yes,Yes,No
18097,Bondo University Clinic,Bondo University Clinic,None,Level 2,Dispensary,DISPENSARY,Public Institution - Academic,Ministry of Health,Ministry of Health,4,0,Siaya,Bondo,Bondo,North Sakwa,Operational,Yes,No,Yes,No,,Yes,Yes,No
18095,Matumbi Dispensary,Matumbi Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,2,Kwale,Kinango,Kinango,Mwavumbo,Operational,No,No,No,No,,Yes,Yes,No
18094,Shammah Medical Clinic,Shammah Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Kitui,Kitui Central,Kitui Central,Township,Operational,No,No,Yes,No,,Yes,Yes,No
18093,Our Lady of Perpetual Sisters VCT (Bondo),Our Lady of Perpetual Sisters VCT (Bondo),None,Level 2,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Clinical Officers Council,0,0,Siaya,Ugunja,Ugunja,Sigomere,Operational,No,No,No,No,,Yes,Yes,No
18091,Namenya (CFW) Clinic,Namenya (CFW) Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Busia,Funyula,Samia,Nangina,Operational,No,No,Yes,No,,Yes,Yes,No
18090,Ukasi Model Health Centre,Ukasi Model Health Centre,None,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,24,24,Kitui,Mwingi Central,Mwingi Central,Nguni,Operational,Yes,Yes,Yes,No,,Yes,Yes,No
18088,Oloosirkon Dispensary,Oloosirkon Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kajiado,Kajiado East,Kajiado East,Oloosirkon/Sholinke,Operational,No,No,No,No,,Yes,Yes,No
18086,Oriang' Alwala Dispensary,Oriang' Alwala Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kisumu,Seme,Seme,West Seme,Operational,No,No,No,No,,Yes,Yes,No
18085,Meridian Medical Clinic (Ongata Rongai),Meridian Medical Clinic (Ongata Rongai),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Kajiado,Kajiado North,Kajiado North,Nkaimurunya,Operational,No,No,Yes,No,,Yes,Yes,No
18084,Mariakani Cottage Hospital Ongata Rongai,Mariakani Cottage Hospital (Ongata Rongai),None,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,10,1,Kajiado,Kajiado North,Kajiado North,Nkaimurunya,Operational,Yes,No,Yes,No,,Yes,Yes,No
18083,Kyambiti Dispensary,Kyambiti Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kitui,Kitui Central,Kitui Central,Mulango,Operational,No,No,No,No,,Yes,Yes,No
18080,Gatunga Model Health Centre,Gatunga Model Health Centre,None,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,3,1,Tharaka Nithi,Tharaka,Tharaka North,Gatunga,Operational,Yes,No,No,No,,Yes,Yes,No
18079,Kaliakakya Dispensary,Kaliakakya Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Kitui,Kitui Central,Kitui Central,Kyangwithya West,Operational,No,No,No,No,,Yes,Yes,No
18078,Ogando Dispensary,Ogando Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Homa Bay,Mbita,Mbita,Lambwe,Operational,No,No,No,No,,Yes,Yes,No
18077,Kiembe Dispensary,Kiembe Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Homa Bay,Suba,Suba South,Gwassi North,Operational,No,No,No,No,,Yes,Yes,No
18076,Kuge Health Centre,Kuge Health Centre,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Homa Bay,Mbita,Mbita,Gembe,Operational,No,No,No,No,,Yes,Yes,No
18075,Miorre Dispensary,Miorre Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Homa Bay,Mbita,Mbita,Gembe,Operational,No,No,No,No,,Yes,Yes,No
18074,Bosto Dispensary,Bosto dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Bomet,Konoin,Konoin,Embomos,Operational,No,No,No,No,,Yes,Yes,No
18073,Embomos Dispensary,Embomos Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Bomet,Konoin,Konoin,Embomos,Operational,No,No,No,No,,Yes,Yes,No
18072,Michira Dispensary,Michira dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Bomet,Konoin,Konoin,Boito,Operational,No,No,No,No,,Yes,Yes,No
18071,Barsheba Medical Clinic,Barsheba Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,5,0,Mombasa,Kisauni,Kisauni,Shanzu,Operational,Yes,No,Yes,No,,Yes,Yes,No
18070,Napeikar Dispensary,Napeikar Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Turkana,Loima,Loima,Turkwel,Operational,No,No,Yes,No,,Yes,Yes,No
18068,Rosewood Nursing Home,Rosewood Nursing Home,,Level 3,Nursing Homes,NURSING HOME,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,12,0,Migori,Rongo,Rongo,Central Kamagambo,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
18067,Alpha Community Health Clinic (Migori),Alpha Community Health Clinic (Migori),None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),2,0,Migori,Suna West,Suna West,Ragana-oruba,Operational,No,No,Yes,No,,Yes,Yes,No
18065,Kabirirsang Youth Centre,Kabirirsang Youth Centre,None,Level 2,VCT,STAND ALONE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nandi,Emgwen,Emgwen,Kilibwoni,Operational,No,No,No,No,,Yes,Yes,No
18064,Kapchebwai Dispensary,Kapchebwai Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kericho,Sigowet/Soin,Sigowet/Soin,Soin,Operational,No,No,No,No,,Yes,Yes,No
18062,Upendo VCT Centre,Upendo VCT Centre,None,Level 2,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Homa Bay,Homa Bay Town,Homa Bay Town,Homa Bay Central,Operational,No,No,No,No,,Yes,Yes,No
18061,Neema Hospital (Ruiru),Neema Hospital (Ruiru),None,Level 4,Primary care hospitals,HOSPITALS,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,Kiambu,Ruiru,Ruiru,Kahawa/Sukari,Operational,No,No,Yes,No,,Yes,Yes,No
18059,Provide Medical Clinic,Provide Medical clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Muranga,Kandara,Kandara,Ruchu,Operational,No,No,Yes,No,,Yes,Yes,No
18058,Tewa Medical Clinic,Tewa Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Muranga,Kandara,Kandara,Ruchu,Operational,No,No,Yes,No,,Yes,Yes,No
18056,Homebase Medical Clinic,Homebase Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Kwale,Kinango,Kinango,Kinango,Operational,No,No,Yes,No,,Yes,Yes,No
18053,Suba medical center,Suba medical center,None,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Institution Academic,Private Practice,Nursing Council of Kenya (Private Practice),2,0,Migori,Suna West,Suna West,Waseweta II,Operational,No,No,Yes,No,,Yes,Yes,No
